name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
0,line,AC,ABBA1-,DYCE1J,0.1092,1.2324,10.14,173.0,8.534626038781164e-06,7.562326869806095e-07,380.0
1,line,AC,ABNE3-,ABNE3-,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
2,line,AC,ABNE3-,CHAR3-,2.49,5.66,1.22,132.0,3.9196675900277007e-05,1.724376731301939e-05,380.0
3,line,AC,ABNE3-,AMUL1G,2.8706,6.5818,1.397,132.0,4.5580332409972304e-05,1.987950138504155e-05,380.0
4,line,AC,ACHR3-,INVE1J,0.3387,3.9588,1.291,739.0,2.7415512465373963e-05,2.3455678670360112e-06,380.0
5,line,AC,ACHR3-,PORA1S,0.2277,2.661,0.868,739.0,1.842797783933518e-05,1.576869806094183e-06,380.0
6,line,AC,AIGA5-,KIOR5-,0.264,0.594,0.66,126.0,4.113573407202216e-06,1.8282548476454295e-06,380.0
7,line,AC,ALNE3J,FYRI1J,0.06,0.202,2.547,156.0,1.3988919667590029e-06,4.155124653739612e-07,380.0
9,line,AC,AMUL1E,AMUL1F,0.2518,0.8041,10.215,153.0,5.568559556786704e-06,1.7437673130193908e-06,380.0
10,line,AC,AMUL1E,BUMU3-,1.8184,4.1692,0.885,132.0,2.887257617728532e-05,1.2592797783933518e-05,380.0
11,line,AC,AMUL1F,GRIF36,0.7002,1.6054,0.341,132.0,1.1117728531855955e-05,4.8490304709141276e-06,380.0
12,line,AC,AMUL1G,AMUL1H,0.2518,0.8041,10.215,153.0,5.568559556786704e-06,1.7437673130193908e-06,380.0
13,line,AC,AMUL1H,GRIF38,0.7002,1.6054,0.341,132.0,1.1117728531855955e-05,4.8490304709141276e-06,380.0
14,line,AC,ANSU3-,INVE1K,0.1781,2.0813,0.679,739.0,1.4413434903047092e-05,1.2333795013850417e-06,380.0
15,line,AC,ANSU3-,PORA1Q,0.3883,4.5385,1.481,739.0,3.143005540166205e-05,2.689058171745152e-06,380.0
16,line,AC,ARBR3-,DENS1Q,1.3195,3.364,0.725,132.0,2.3296398891966758e-05,9.13781163434903e-06,380.0
17,line,AC,ARBR3-,DENS1R,1.3195,3.364,0.725,132.0,2.3296398891966758e-05,9.13781163434903e-06,380.0
18,line,AC,ARDK3K,INVE1J,0.92,2.1,0.44,132.0,1.4542936288088642e-05,6.3711911357340724e-06,380.0
19,line,AC,ARDK3K,SLOY1T,1.02,2.33,0.49,132.0,1.613573407202216e-05,7.063711911357341e-06,380.0
20,line,AC,ARMO3-,DUGR3-,2.38,3.94,0.93,99.0,2.7285318559556786e-05,1.6481994459833793e-05,380.0
21,line,AC,BEAT4-,BLHI1J,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
22,line,AC,BEAU1P,BEAU1Q,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
23,line,AC,BEAU1P,BEAU1R,0.0315,0.197,3.941,265.0,1.3642659279778394e-06,2.1814404432132965e-07,380.0
24,line,AC,BEAU1P,BEAU1T,0.01,0.0147,0.268,141.0,1.0180055401662049e-07,6.925207756232687e-08,380.0
25,line,AC,BEAU1P,CULL5-,1.43,3.28,0.69,126.0,2.2714681440443213e-05,9.903047091412743e-06,380.0
