name,bus,p_set
ABBA1-,ABBA1-,2.576386883399379
ABHA11,ABHA11,41.665470434520664
ABHA12,ABHA12,41.665470434520664
ABNE3-,ABNE3-,9.795144979531296
ABTH11,ABTH11,24.52400781428323
ABTH12,ABTH12,12.262003907141615
ABTH13,ABTH13,12.262003907141615
ACHR3-,ACHR3-,4.296098656003424
AIGA5-,AIGA5-,2.503424004201009
AIKE3A,AIKE3A,5.518421497245447
AIKE3B,AIKE3B,2.7592107486227233
ALDW31,ALDW31,86.11507674301738
ALDW32,ALDW32,43.05753837150869
ALNE3J,ALNE3J,7.82858066615419
ALST31,ALST31,22.56606336632741
ALST32,ALST32,11.283031683163705
ALVE11,ALVE11,55.67542596891629
AMEM11,AMEM11,61.638891678998775
AMUL1E,AMUL1E,3.5512669781043207
AMUL1F,AMUL1F,3.5512669781043207
AMUL1G,AMUL1G,3.2650483265104318
AMUL1H,AMUL1H,3.2650483265104318
ANSU3-,ANSU3-,4.296098656003424
ARBR3-,ARBR3-,8.422472992544856
ARDK3K,ARDK3K,0.4842460146475085
AREC3-,AREC3-,8.058029455321902
AREC3A,AREC3A,4.029014727660951
AREC3B,AREC3B,4.029014727660951
ARMO3-,ARMO3-,5.456295491522463
AUCH2-,AUCH2-,4.029014727660951
AUCW1-,AUCW1-,1.7603408557749027
AXMI11,AXMI11,29.70796627671434
AYR-3-,AYR-3-,10.161239533703716
BAGA3-,BAGA3-,10.687864728059191
BAGB21,BAGB21,49.27506635386182
BAIN3-,BAIN3-,8.799132164743558
BARK11,BARK11,62.56983157891516
BARW31,BARW31,15.64245789472879
BARW32,BARW32,15.64245789472879
BBWO21,BBWO21,24.20009160100938
BBWW31,BBWW31,24.20009160100938
BBWW32,BBWW32,12.10004580050469
BEAT21,BEAT21,1.6952926408085622
BEAT22,BEAT22,0.8476463204042811
BEAT4-,BEAT4-,0.8476463204042811
BEAT4A,BEAT4A,0.8476463204042811
BEAU1J,BEAU1J,1.2517120021005046
BEAU1L,BEAU1L,1.2517120021005046
BEAU1M,BEAU1M,1.2517120021005046
BEAU1N,BEAU1N,1.2517120021005046
BEAU1P,BEAU1P,3.755136006301514
BEAU1Q,BEAU1Q,3.755136006301514
BEAU1R,BEAU1R,1.2517120021005046
BEAU1S,BEAU1S,1.2517120021005046
BEAU1T,BEAU1T,1.2517120021005046
BEAU3-,BEAU3-,1.2517120021005046
BEDD11,BEDD11,180.5874007580871
BEDD12,BEDD12,72.23496030323484
BEDT1A,BEDT1A,36.11748015161742
BEDT1B,BEDT1B,36.11748015161742
BEIN31,BEIN31,0.23421093821328398
BEIW31,BEIW31,1.6952926408085622
BEIW32,BEIW32,1.6952926408085622
BERB3-,BERB3-,5.693786052929415
BERW3-,BERW3-,10.147824055650865
BESW11,BESW11,55.17131033081103
BESW12,BESW12,27.585655165405516
