Grid Supply Points,Name,2021 (MW),2022 (MW),2023 (MW),2024 (MW),2025 (MW),2026 (MW),2027 (MW),2028 (MW),2029 (MW),2030 (MW),2031 (MW),2032 (MW),2033 (MW),2034 (MW),2035 (MW),2036 (MW),2037 (MW),2038 (MW),2039 (MW),2040 (MW),2041 (MW),2042 (MW),2043 (MW),2044 (MW),2045 (MW),2046 (MW),2047 (MW),2048 (MW),2049 (MW),2050 (MW)
ABHA1,ABHA1,260.7,265.9,269.8,273.8,278.4,282.7,287.7,292.8,300.0,309.9,318.9,330.3,343.5,357.7,372.1,383.0,399.5,416.6,435.0,452.6,463.7,480.4,496.5,511.7,525.2,531.2,542.4,553.3,565.3,577.8
ABNE_P,ABNE_P,43.5,44.1,44.4,44.8,45.2,45.5,45.8,45.9,46.2,47.0,48.0,49.0,50.2,51.5,52.9,54.4,56.0,57.6,59.3,60.9,62.4,64.0,65.6,67.1,68.5,69.4,70.6,71.8,73.2,74.5
ABTH_1,ABTH_1,203.0,206.5,208.6,210.6,213.1,214.7,216.6,218.0,220.3,224.8,229.9,235.4,241.9,248.9,255.9,261.9,269.8,278.1,287.0,295.7,304.9,313.5,321.8,329.7,336.6,345.3,351.6,358.1,365.3,372.6
ACTL_2;CBNK_H;GREE_H;PERI_H,ACTL_2;CBNK_H;GREE_H;PERI_H,117.7,119.8,121.5,123.3,125.3,126.2,127.2,127.6,128.1,130.6,132.9,135.8,139.3,143.1,146.9,151.1,155.2,159.5,164.2,168.8,174.0,178.8,183.4,187.9,191.8,196.6,200.5,204.8,209.5,214.2
ALNE_P,ALNE_P,30.8,31.1,31.4,31.7,32.1,32.2,32.3,32.4,32.5,33.0,33.3,33.8,34.5,35.1,35.8,36.3,37.0,37.8,38.6,39.5,39.8,40.6,41.4,42.2,42.9,43.2,43.9,44.7,45.5,46.3
ALVE1,ALVE1,230.0,234.1,237.5,241.2,245.5,249.5,254.3,259.3,266.3,275.6,284.6,295.4,307.9,321.3,334.9,347.4,363.1,379.1,395.7,411.4,423.2,438.2,452.8,466.5,479.0,485.9,494.9,502.7,511.1,519.8
AMEM_1,AMEM_1,73.4,76.1,78.6,81.3,84.2,86.1,88.4,90.6,93.2,97.5,101.6,106.5,112.2,118.5,125.1,132.5,139.7,147.4,155.8,164.0,173.2,181.4,189.4,197.0,203.8,211.7,218.2,225.3,233.1,241.3
ARBR_P,ARBR_P,33.0,33.4,33.8,34.2,34.7,35.3,35.7,35.9,36.4,37.2,38.4,39.4,40.6,41.9,43.2,44.7,46.3,47.9,49.8,51.6,53.0,54.7,56.5,58.1,59.6,60.2,61.7,63.4,65.2,67.0
ARDK_P;CLAC_P,ARDK_P;CLAC_P,3.7,3.7,3.8,3.8,3.8,3.9,3.9,3.9,3.9,4.0,4.1,4.1,4.2,4.4,4.5,4.5,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.6,5.7,5.8,5.9
ARMO_P,ARMO_P,32.5,33.0,33.3,33.7,34.1,34.4,34.7,35.0,35.4,36.2,37.0,38.0,39.1,40.3,41.5,42.6,44.0,45.5,47.1,48.7,49.6,51.1,52.5,53.9,55.1,55.5,56.6,57.8,59.0,60.3
