nationalGridBmUnit,lon,lat,capacity(MW),bmu_type,nice_name,gsp_name
ISG-NDPL1,-1.521,55.144,1400,interconnector,North Sea Link,
IFG-VSAL1,0.9734,51.105,2000,interconnector,IFA1,
IFG-INCM1,0.9734,51.105,1000,interconnector,IFA1,
ILG-VSAL1,0.9734,51.105,1000,interconnector,ElecLink,
ING-VSAL1,1.347,51.309,1000,interconnector,Nemo,
IBG-VSAL1,0.653,51.460,1000,interconnector,BritNed,
IBG-INCM1,0.653,51.460,1000,interconnector,BritNed,
ILG-INCM1,0.9734,51.105,740,interconnector,ElecLink,
IFG-MFTE1,0.9734,51.105,1000,interconnector,IFA1,
ING-INCM1,1.347,51.309,1000,interconnector,Nemo,
IFG-EDMK1,0.9734,51.105,3000,interconnector,IFA1,
IFG-DSKC1,0.9734,51.105,3000,interconnector,IFA1,
IVG-NITR1,-0.221,52.931,3000,interconnector,Viking Link,
IVG-INCM1,-0.221,52.931,1400,interconnector,Viking Link,
NSC-ATL01,-4.491,57.468,200,hydro,SSE Energy Supply,North of Scotland GSP
IVG-EDMK1,-0.221,52.931,1400,interconnector,Viking Link,
IFG-EDFT1,0.9734,51.105,4000,interconnector,IFA1,
IFG-ELTR1,0.9734,51.105,2000,interconnector,IFA1,
SOKYW-1,-4.200,55.317,430,wind,South Kyle Wind Farm,
ING-ELTR1,1.347,51.309,1000,interconnector,Nemo,
ILG-ELTR1,0.9734,51.105,740,interconnector,ElecLink,
IFG-TFEE1,0.9734,51.105,2000,interconnector,IFA1,
ILG-DSKC1,0.9734,51.105,1000,interconnector,ElecLink,
ILG-MFTE1,0.9734,51.105,1000,interconnector,ElecLink,
ING-EDFT1,1.347,51.309,1000,interconnector,Nemo,
ILG-EDMK1,0.9734,51.105,1000,interconnector,ElecLink,
ING-MFTE1,1.347,51.309,1000,interconnector,Nemo,
IBG-EDMK1,0.653,51.460,1400,interconnector,BritNed,
IVG-NTPL1,-0.221,52.931,1400,interconnector,Viking Link,
IVG-MFTE1,-0.221,52.931,1400,interconnector,Viking Link,
TIBG-1,0.389,51.459,43,biomass,Tilbury Green Power One,
ING-NITR1,1.347,51.309,1000,interconnector,Nemo,
ILG-EDFT1,0.9734,51.105,1050,interconnector,ElecLink,
IVG-NEAS1,-0.221,52.931,1400,interconnector,Viking Link,
IVG-COPN1,-0.221,52.931,1400,interconnector,Viking Link,
IVG-DSKC1,-0.221,52.931,1400,interconnector,Viking Link,
IBG-EDFT1,0.653,51.460,1000,interconnector,BritNed,
IBD-DARE1,0.653,51.460,1000,interconnector,BritNed,
IBG-ELTR1,0.653,51.460,1000,interconnector,BritNed,
IBG-DSKC1,0.653,51.460,1000,interconnector,BritNed,
IFG-HELI1,0.9734,51.105,1000,interconnector,IFA1,
IFG-GAZP1,0.9734,51.105,1000,interconnector,IFA1,
EAS-SEL01,,,-140,supply,SmartestEnergy,
IFG-NTPL1,0.9734,51.105,2000,interconnector,IFA1,
ING-NEAS1,1.347,51.309,1000,interconnector,Nemo,
IFG-NITR1,0.9734,51.105,1000,interconnector,IFA1,
