,0
2023-10-01 01:00:00,97.26
2023-10-01 05:30:00,72.37
2023-10-01 06:00:00,84.38
2023-10-01 06:30:00,84.28
2023-10-01 07:00:00,82.16
2023-10-01 07:30:00,84.26
2023-10-01 08:00:00,70.99
2023-10-01 08:30:00,90.29
2023-10-01 09:00:00,69.29
2023-10-01 09:30:00,78.29
2023-10-01 10:00:00,60.06
2023-10-01 01:30:00,93.72
2023-10-01 10:30:00,61.11
2023-10-01 11:00:00,55.48
2023-10-01 11:30:00,56.05
2023-10-01 12:00:00,66.57
2023-10-01 12:30:00,64.5
2023-10-01 13:00:00,71.13
2023-10-01 13:30:00,77.24
2023-10-01 14:00:00,86.13
2023-10-01 14:30:00,85.1
2023-10-01 15:00:00,86.11
2023-10-01 02:00:00,83.13
2023-10-01 15:30:00,77.93
2023-10-01 16:00:00,69.91
2023-10-01 16:30:00,53.01
2023-10-01 17:00:00,90.76
2023-10-01 17:30:00,95.7
2023-10-01 18:00:00,104.29
2023-10-01 18:30:00,109.02
2023-10-01 19:00:00,113.21
2023-10-01 19:30:00,117.76
2023-10-01 20:00:00,120.57
2023-10-01 02:30:00,80.98
2023-10-01 20:30:00,121.25
2023-10-01 21:00:00,121.04
2023-10-01 21:30:00,109.25
2023-10-01 22:00:00,110.47
2023-10-01 22:30:00,100.49
2023-10-01 23:00:00,102.07
2023-10-01 23:30:00,99.07
2023-10-02 00:00:00,90.61
2023-10-02 00:30:00,85.56
2023-10-01 03:00:00,75.5
2023-10-01 03:30:00,75.22
2023-10-01 04:00:00,54.7
2023-10-01 04:30:00,38.69
2023-10-01 05:00:00,48.68
2023-10-02 01:00:00,83.28
2023-10-02 05:30:00,74.41
2023-10-02 06:00:00,88.11
2023-10-02 06:30:00,88.33
2023-10-02 07:00:00,97.01
2023-10-02 07:30:00,108.13
2023-10-02 08:00:00,109.03
2023-10-02 08:30:00,122.59
2023-10-02 09:00:00,99.19
2023-10-02 09:30:00,111.49
2023-10-02 10:00:00,98.76
2023-10-02 01:30:00,72.51
2023-10-02 10:30:00,91.0
2023-10-02 11:00:00,88.26
2023-10-02 11:30:00,79.93
2023-10-02 12:00:00,76.83
2023-10-02 12:30:00,74.04
2023-10-02 13:00:00,70.87
2023-10-02 13:30:00,75.7
2023-10-02 14:00:00,77.33
2023-10-02 14:30:00,80.64
2023-10-02 15:00:00,86.54
2023-10-02 02:00:00,68.92
2023-10-02 15:30:00,79.64
2023-10-02 16:00:00,97.08
2023-10-02 16:30:00,94.94
2023-10-02 17:00:00,107.41
2023-10-02 17:30:00,109.96
2023-10-02 18:00:00,130.19
2023-10-02 18:30:00,130.1
