StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-10-08T00:00:00Z,APXMIDP,2023-10-08,3,70.58,890.8
2023-10-07T23:30:00Z,APXMIDP,2023-10-08,2,74.48,1091.45
2023-10-07T23:00:00Z,APXMIDP,2023-10-08,1,83.78,1108.8
2023-10-07T22:30:00Z,APXMIDP,2023-10-07,48,94.58,1562.2
2023-10-07T22:00:00Z,APXMIDP,2023-10-07,47,94.07,1547.85
2023-10-07T21:30:00Z,APXMIDP,2023-10-07,46,90.45,2432.9
2023-10-07T21:00:00Z,APXMIDP,2023-10-07,45,79.32,2316.3
2023-10-07T20:30:00Z,APXMIDP,2023-10-07,44,87.59,2471.75
2023-10-07T20:00:00Z,APXMIDP,2023-10-07,43,95.55,2283.6
2023-10-07T19:30:00Z,APXMIDP,2023-10-07,42,93.43,2343.8
2023-10-07T19:00:00Z,APXMIDP,2023-10-07,41,96.1,2095.25
2023-10-07T18:30:00Z,APXMIDP,2023-10-07,40,103.78,1754.65
2023-10-07T18:00:00Z,APXMIDP,2023-10-07,39,99.34,1737.3
2023-10-07T17:30:00Z,APXMIDP,2023-10-07,38,101.71,2501.95
2023-10-07T17:00:00Z,APXMIDP,2023-10-07,37,94.74,2217.55
2023-10-07T16:30:00Z,APXMIDP,2023-10-07,36,95.73,2127.55
2023-10-07T16:00:00Z,APXMIDP,2023-10-07,35,80.78,2095.8
2023-10-07T15:30:00Z,APXMIDP,2023-10-07,34,47.91,1934.65
2023-10-07T15:00:00Z,APXMIDP,2023-10-07,33,64.44,1980.8
2023-10-07T14:30:00Z,APXMIDP,2023-10-07,32,61.91,1543.0
2023-10-07T14:00:00Z,APXMIDP,2023-10-07,31,57.79,1786.4
2023-10-07T13:30:00Z,APXMIDP,2023-10-07,30,10.89,2189.8
2023-10-07T13:00:00Z,APXMIDP,2023-10-07,29,11.8,2247.8
2023-10-07T12:30:00Z,APXMIDP,2023-10-07,28,7.9,1905.25
2023-10-07T12:00:00Z,APXMIDP,2023-10-07,27,13.14,1775.95
2023-10-07T11:30:00Z,APXMIDP,2023-10-07,26,4.47,2357.3
2023-10-07T11:00:00Z,APXMIDP,2023-10-07,25,-0.66,2121.9
2023-10-07T10:30:00Z,APXMIDP,2023-10-07,24,0.3,2049.05
2023-10-07T10:00:00Z,APXMIDP,2023-10-07,23,2.26,2101.4
2023-10-07T09:30:00Z,APXMIDP,2023-10-07,22,6.65,2394.05
2023-10-07T09:00:00Z,APXMIDP,2023-10-07,21,9.62,2179.35
2023-10-07T08:30:00Z,APXMIDP,2023-10-07,20,16.08,1639.9
2023-10-07T08:00:00Z,APXMIDP,2023-10-07,19,40.53,1640.75
2023-10-07T07:30:00Z,APXMIDP,2023-10-07,18,68.84,1904.3
2023-10-07T07:00:00Z,APXMIDP,2023-10-07,17,37.36,1567.0
2023-10-07T06:30:00Z,APXMIDP,2023-10-07,16,72.59,1479.95
2023-10-07T06:00:00Z,APXMIDP,2023-10-07,15,47.29,1104.7
2023-10-07T05:30:00Z,APXMIDP,2023-10-07,14,60.09,1450.75
2023-10-07T05:00:00Z,APXMIDP,2023-10-07,13,51.21,1302.5
2023-10-07T04:30:00Z,APXMIDP,2023-10-07,12,56.58,1426.7
2023-10-07T04:00:00Z,APXMIDP,2023-10-07,11,50.76,1141.7
2023-10-07T03:30:00Z,APXMIDP,2023-10-07,10,34.07,1382.4
2023-10-07T03:00:00Z,APXMIDP,2023-10-07,9,27.99,1478.85
2023-10-07T02:30:00Z,APXMIDP,2023-10-07,8,19.33,1255.3
2023-10-07T02:00:00Z,APXMIDP,2023-10-07,7,21.1,1218.35
2023-10-07T01:30:00Z,APXMIDP,2023-10-07,6,24.36,1400.2
2023-10-07T01:00:00Z,APXMIDP,2023-10-07,5,25.33,1480.25
2023-10-07T00:30:00Z,APXMIDP,2023-10-07,4,14.48,1270.15
2023-10-07T00:00:00Z,APXMIDP,2023-10-07,3,14.4,1350.9
