nationalGridBmUnit,elexonBmUnit,fuelType,leadPartyName,bmUnitType,fpnFlag,longitude,latitude,name
ABERU-1,E_ABERDARE,,UK Power Reserve Limited,E,True,-3.44926,51.711177,ABERU-1
ABRBO-1,T_ABRBO-1,WIND,Aberdeen Offshore Wind Farm,T,True,-1.9728,57.2226,ABRBO-1
ABRTW-1,E_ABRTW-1,WIND,Npower Commercial Gas Limited,E,True,-3.988675,55.621764,ABRTW-1
ACHLW-1,C__PSMAR001,WIND,Smartestenergy Limited,S,True,-3.4565,58.4479,ACHLW-1
ACHRW-1,T_ACHRW-1,WIND,Mobius Renewables Gen. (GB2,T,True,-5.393722,56.34286,ACHRW-1
ACHYW-1,,WIND,,,,,,ACHYW-1
AFTOW-1,T_AFTOW-1,WIND,Afton Wind Farm Limited,T,True,-4.1691,55.3128,AFTOW-1
AG-ADL00B,V__BADEL001,,Adela Energy Ltd,V,True,,,AG-ADL00B
AG-ADL01M,V__MADEL001,,Adela Energy Ltd,V,True,,,AG-ADL01M
AG-ADL02G,V__GADEL001,,Adela Energy Ltd,V,True,,,AG-ADL02G
AG-ADL03E,V__EADEL001,,Adela Energy Ltd,V,True,,,AG-ADL03E
AG-ADL04H,V__JADEL001,,Adela Energy Ltd,V,True,,,AG-ADL04H
AG-ADL05H,V__HADEL002,,Adela Energy Ltd,V,True,,,AG-ADL05H
AG-AECO01,2__AECOT003,,The Renewable Energy Co Ltd,S,True,,,AG-AECO01
AG-AEDF01,2__ALOND001,,EDF Energy Customers Ltd,S,True,,,AG-AEDF01
AG-AEDF02,2__ALOND002,,EDF Energy Customers Ltd,S,True,,,AG-AEDF02
AG-AFLX01,2__AFLEX001,,Flexitricity Limited,S,True,,,AG-AFLX01
AG-AFLX02,2__AFLEX002,,Flexitricity Limited,S,True,,,AG-AFLX02
AG-AFLX03,2__AFLEX003,,Flexitricity Limited,S,True,,,AG-AFLX03
AG-AFLX04,2__AFLEX004,,Flexitricity Limited,S,True,,,AG-AFLX04
AG-AFLX05,2__AFLEX005,,Flexitricity Limited,S,True,,,AG-AFLX05
AG-ALIM01,2__ALIME000,,Limejump Energy Limited,G,False,,,AG-ALIM01
AG-ALIM02,2__AANGE001,,Limejump Energy Limited,S,False,,,AG-ALIM02
AG-ALIM03,2__AANGE002,,Limejump Energy Limited,S,True,,,AG-ALIM03
AG-ALIM04,2__AANGE003,,Limejump Energy Limited,S,False,,,AG-ALIM04
AG-ASTK01,2__ASTAT001,,Statkraft Markets Gmbh,S,True,,,AG-ASTK01
AG-ASTK02,2__ASTAT002,,Statkraft Markets Gmbh,S,True,,,AG-ASTK02
AG-ASTK03,2__ASTAT003,,Statkraft Markets Gmbh,S,True,,,AG-ASTK03
AG-ASTK04,2__ASTAT004,,Statkraft Markets Gmbh,S,True,,,AG-ASTK04
AG-ASTK05,2__ASTAT005,,Statkraft Markets Gmbh,S,True,,,AG-ASTK05
AG-AUKP01,2__AUKPR001,,UK Power Reserve Limited,S,True,,,AG-AUKP01
AG-BEDF01,2__BLOND001,,EDF Energy Customers Ltd,S,True,,,AG-BEDF01
AG-BEDF02,2__BLOND002,,EDF Energy Customers Ltd,S,True,,,AG-BEDF02
AG-BFLX01,2__BFLEX001,,Flexitricity Limited,S,True,,,AG-BFLX01
AG-BFLX02,2__BFLEX002,,Flexitricity Limited,S,True,,,AG-BFLX02
AG-BFLX03,2__BFLEX003,,Flexitricity Limited,S,True,,,AG-BFLX03
AG-BFLX04,2__BFLEX004,,Flexitricity Limited,S,True,,,AG-BFLX04
AG-BHAR01,2__BPOWQ001,,Hartree Partners Supply UK,S,True,,,AG-BHAR01
AG-BLIM01,2__BLIME000,,Limejump Energy Limited,G,False,,,AG-BLIM01
AG-BLIM02,2__BANGE001,,Limejump Energy Limited,S,False,,,AG-BLIM02
AG-BLIM03,2__BANGE002,,Limejump Energy Limited,S,False,,,AG-BLIM03
AG-BLIM04,2__BANGE003,,Limejump Energy Limited,S,False,,,AG-BLIM04
AG-BSMA01,2__BSMAR002,,Smartestenergy Limited,S,True,,,AG-BSMA01
AG-BSMA02,2__BSMAR003,,Smartestenergy Limited,S,True,,,AG-BSMA02
AG-BSTK01,2__BSTAT001,,Statkraft Markets Gmbh,S,True,,,AG-BSTK01
AG-BSTK02,2__BSTAT002,,Statkraft Markets Gmbh,S,True,,,AG-BSTK02
AG-BSTK03,2__BSTAT003,,Statkraft Markets Gmbh,S,True,,,AG-BSTK03
AG-BUKP01,2__BUKPR001,,UK Power Reserve Limited,S,True,,,AG-BUKP01
AG-CBS02L,V__LCEND001,,Centrica Business Solutions UK,V,True,,,AG-CBS02L
AG-CBS05L,V__LCEND005,,Centrica Business Solutions UK,V,True,,,AG-CBS05L
AG-CBS06B,V__BCEND004,,Centrica Business Solutions UK,V,True,,,AG-CBS06B
AG-CBS07B,V__ECEND007,,Centrica Business Solutions UK,V,True,,,AG-CBS07B
AG-CBS08M,V__MCEND001,,Centrica Business Solutions UK,V,True,,,AG-CBS08M
AG-COCT00,2__CMRCY001,,Octopus Energy Limited,S,True,,,AG-COCT00
AG-CPAD01,2__CPADD001,,Fuse Energy Supply Limited,S,True,,,AG-CPAD01
AG-DEDF01,2__DLOND001,,EDF Energy Customers Ltd,S,True,,,AG-DEDF01
AG-DLIM01,2__DANGE001,,Limejump Energy Limited,S,False,,,AG-DLIM01
AG-DSMA01,2__DSMAE001,,Smartestenergy Limited,S,True,,,AG-DSMA01
AG-DSMA02,2__DSMAE002,,Smartestenergy Limited,S,True,,,AG-DSMA02
AG-DSTK01,2__DSTAT001,,Statkraft Markets Gmbh,S,True,,,AG-DSTK01
AG-DSTK02,2__DSTAT002,,Statkraft Markets Gmbh,S,True,,,AG-DSTK02
AG-DSTK03,2__DSTAT003,,Statkraft Markets Gmbh,S,True,,,AG-DSTK03
AG-DSTK04,2__DSTAT004,,Statkraft Markets Gmbh,S,True,,,AG-DSTK04
AG-DUKP01,2__DUKPR001,,UK Power Reserve Limited,S,True,,,AG-DUKP01
AG-EEDF01,2__ELOND001,,EDF Energy Customers Ltd,S,True,,,AG-EEDF01
AG-EFLX01,2__EFLEX001,,Flexitricity Limited,S,True,,,AG-EFLX01
AG-EFLX02,2__EFLEX002,,Flexitricity Limited,S,True,,,AG-EFLX02
AG-EFLX03,2__EFLEX003,,Flexitricity Limited,S,True,,,AG-EFLX03
AG-EFLX04,2__EFLEX004,,Flexitricity Limited,S,True,,,AG-EFLX04
AG-ELIM01,2__ELIME000,,Limejump Energy Limited,G,False,,,AG-ELIM01
AG-ELIM02,2__EANGE001,,Limejump Energy Limited,S,False,,,AG-ELIM02
AG-ELIM03,2__EANGE002,,Limejump Energy Limited,S,False,,,AG-ELIM03
AG-ENX00A,V__AENEL001,,Enel X UK Limited,V,True,,,AG-ENX00A
AG-ERV01M,V__MEROV001,,Erova Energy Limited,V,True,,,AG-ERV01M
AG-ESMA01,2__ESMAR001,,Smartestenergy Limited,S,True,,,AG-ESMA01
AG-ESTK01,2__ESTAT001,,Statkraft Markets Gmbh,S,True,,,AG-ESTK01
AG-ESTK02,2__ESTAT002,,Statkraft Markets Gmbh,S,True,,,AG-ESTK02
AG-EUKP01,2__EUKPR001,,UK Power Reserve Limited,S,True,,,AG-EUKP01
AG-FEDF01,2__FLOND001,,EDF Energy Customers Ltd,S,True,,,AG-FEDF01
AG-FEDF02,2__FLOND002,,EDF Energy Customers Ltd,S,True,,,AG-FEDF02
AG-FFLX01,2__FFLEX001,,Flexitricity Limited,S,True,,,AG-FFLX01
AG-FLIM01,2__FANGE001,,Limejump Energy Limited,S,True,,,AG-FLIM01
