Bus,name,v_nom,carrier,x,y,type,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
ABBA1-,ABBA1-,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
ABNE1Q,ABNE1Q,132.0,AC,-3.293750933,56.33945602,,None,1.0,0.0,inf,PQ,,
ABNE1R,ABNE1R,132.0,AC,-3.293750933,56.33945602,,None,1.0,0.0,inf,PQ,,
ACHR1R,ACHR1R,132.0,AC,-5.350002441,56.02602463,,None,1.0,0.0,inf,PQ,,
AIGA1Q,AIGA1Q,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
ALNE1Q,ALNE1Q,132.0,AC,-4.27420198,57.70812973,,None,1.0,0.0,inf,PQ,,
ALNE1R,ALNE1R,132.0,AC,-4.27420198,57.70812973,,None,1.0,0.0,inf,PQ,,
AMUL1E,AMUL1E,132.0,AC,-3.487501081,56.39669617,,None,1.0,0.0,inf,PQ,,
AMUL1F,AMUL1F,132.0,AC,-3.487501081,56.39669617,,None,1.0,0.0,inf,PQ,,
AMUL1G,AMUL1G,132.0,AC,-3.293750933,56.33945602,,None,1.0,0.0,inf,PQ,,
AMUL1H,AMUL1H,132.0,AC,-3.293750933,56.33945602,,None,1.0,0.0,inf,PQ,,
ANSU1-,ANSU1-,132.0,AC,-5.350002441,56.02602463,,None,1.0,0.0,inf,PQ,,
ARBR1Q,ARBR1Q,132.0,AC,-2.619040477,56.56385676,,None,1.0,0.0,inf,PQ,,
ARBR1R,ARBR1R,132.0,AC,-2.619040477,56.56385676,,None,1.0,0.0,inf,PQ,,
ARDK1-,ARDK1-,132.0,AC,-4.955504,56.287166,,None,1.0,0.0,inf,PQ,,
ARMO1J,ARMO1J,132.0,AC,-6.645004363,57.55442865,,None,1.0,0.0,inf,PQ,,
BEAT4-,BEAT4-,400.0,AC,-2.950702753666667,57.477916418333336,,None,1.0,0.0,inf,PQ,,
BEAU1J,BEAU1J,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1K,BEAU1K,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1L,BEAU1L,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1M,BEAU1M,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1N,BEAU1N,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1R,BEAU1R,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1S,BEAU1S,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU1T,BEAU1T,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU2J,BEAU2J,275.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU2K,BEAU2K,275.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEAU4-,BEAU4-,400.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
BEIN11,BEIN11,132.0,AC,-4.93670244,57.15401813,,None,1.0,0.0,inf,PQ,,
BERB2Q,BERB2Q,275.0,AC,-3.599413,57.504052,,None,1.0,0.0,inf,PQ,,
BHLA11,BHLA11,132.0,AC,-4.714502234,57.13662813,,None,1.0,0.0,inf,PQ,,
BIHI1Q,BIHI1Q,132.0,AC,-3.158900859,56.505976544999996,,None,1.0,0.0,inf,PQ,,
BIHI1R,BIHI1R,132.0,AC,-3.158900859,56.505976544999996,,None,1.0,0.0,inf,PQ,,
BLHI1J,BLHI1J,132.0,AC,-2.932700798,57.53762947,,None,1.0,0.0,inf,PQ,,
BLHI1K,BLHI1K,132.0,AC,-2.932700798,57.53762947,,None,1.0,0.0,inf,PQ,,
BLHI2J,BLHI2J,275.0,AC,-2.9597037315000003,57.4480598925,,None,1.0,0.0,inf,PQ,,
BLHI2K,BLHI2K,275.0,AC,-2.9417017758333337,57.50777294416667,,None,1.0,0.0,inf,PQ,,
BLHI2L,BLHI2L,275.0,AC,-2.6623515418333334,57.345422524166665,,None,1.0,0.0,inf,PQ,,
BLHI2M,BLHI2M,275.0,AC,-2.6623515418333334,57.345422524166665,,None,1.0,0.0,inf,PQ,,
BLHI4-,BLHI4-,400.0,AC,-2.950702753666667,57.477916418333336,,None,1.0,0.0,inf,PQ,,
BOAG1L,BOAG1L,132.0,AC,-3.723001408,57.24932862,,None,1.0,0.0,inf,PQ,,
BOAG1M,BOAG1M,132.0,AC,-3.723001408,57.24932862,,None,1.0,0.0,inf,PQ,,
BOAG1P,BOAG1P,132.0,AC,-3.723001408,57.24932862,,None,1.0,0.0,inf,PQ,,
BONB2J,BONB2J,275.0,AC,-3.860301279,56.0071049,,None,1.0,0.0,inf,PQ,,
BONB4-,BONB4-,400.0,AC,-4.2874017565,56.571866514999996,,None,1.0,0.0,inf,PQ,,
BRCW2J,BRCW2J,275.0,AC,-4.714502234,57.13662813,,None,1.0,0.0,inf,PQ,,
BREC1Q,BREC1Q,132.0,AC,-2.4242753495000002,56.820717525,,None,1.0,0.0,inf,PQ,,
BREC1R,BREC1R,132.0,AC,-2.49041289575,56.7705623775,,None,1.0,0.0,inf,PQ,,
BROA1Q,BROA1Q,132.0,AC,-5.93580345,57.2479281,,None,1.0,0.0,inf,PQ,,
BROR1-,BROR1-,132.0,AC,-3.87470168,58.01993055,,None,1.0,0.0,inf,PQ,,
BROR1Q,BROR1Q,132.0,AC,-3.87470168,58.01993055,,None,1.0,0.0,inf,PQ,,
BUMU1Q,BUMU1Q,132.0,AC,-3.487501081,56.39669617,,None,1.0,0.0,inf,PQ,,
CAAD1Q,CAAD1Q,132.0,AC,-5.502312414,55.59026315,,None,1.0,0.0,inf,PQ,,
CAAD1R,CAAD1R,132.0,AC,-5.502312414,55.59026315,,None,1.0,0.0,inf,PQ,,
CAIN2-,CAIN2-,275.0,AC,-2.6578510529166666,57.360350787083334,,None,1.0,0.0,inf,PQ,,
CASS1Q,CASS1Q,132.0,AC,-4.516696903,56.54213245,,None,1.0,0.0,inf,PQ,,
CHAR1-,CHAR1-,132.0,AC,-3.044800773,56.47382646,,None,1.0,0.0,inf,PQ,,
CHAR1S,CHAR1S,132.0,AC,-3.044800773,56.47382646,,None,1.0,0.0,inf,PQ,,
CHAR1T,CHAR1T,132.0,AC,-3.044800773,56.47382646,,None,1.0,0.0,inf,PQ,,
CLAC1Q,CLAC1Q,132.0,AC,-4.922002162,56.27712554,,None,1.0,0.0,inf,PQ,,
CLAY1Q,CLAY1Q,132.0,AC,-2.098600116,57.14022844,,None,1.0,0.0,inf,PQ,,
CLAY1R,CLAY1R,132.0,AC,-2.098600116,57.14022844,,None,1.0,0.0,inf,PQ,,
CLUN1Q,CLUN1Q,132.0,AC,-3.273000945,56.53812663,,None,1.0,0.0,inf,PQ,,
CLUN1R,CLUN1R,132.0,AC,-3.273000945,56.53812663,,None,1.0,0.0,inf,PQ,,
CLUN1S,CLUN1S,132.0,AC,-3.273000945,56.53812663,,None,1.0,0.0,inf,PQ,,
CLUN1T,CLUN1T,132.0,AC,-3.273000945,56.53812663,,None,1.0,0.0,inf,PQ,,
COGA1-,COGA1-,132.0,AC,-3.599413,57.504052,,None,1.0,0.0,inf,PQ,,
COGA1C,COGA1C,132.0,AC,-3.599413,57.504052,,None,1.0,0.0,inf,PQ,,
CONN1C,CONN1C,132.0,AC,-3.753501664,58.57592179,,None,1.0,0.0,inf,PQ,,
CONN2J,CONN2J,275.0,AC,-3.753501664,58.57592179,,None,1.0,0.0,inf,PQ,,
CORI1J,CORI1J,132.0,AC,-4.616254,57.553719,,None,1.0,0.0,inf,PQ,,
CORI1K,CORI1K,132.0,AC,-4.616254,57.553719,,None,1.0,0.0,inf,PQ,,
CORI1P,CORI1P,132.0,AC,-4.723078236499999,57.58412419,,None,1.0,0.0,inf,PQ,,
CORI1Q,CORI1Q,132.0,AC,-4.723078236499999,57.58412419,,None,1.0,0.0,inf,PQ,,
CRAI1-,CRAI1-,132.0,AC,-2.153000157,57.13112841,,None,1.0,0.0,inf,PQ,,
CRAI1P,CRAI1P,132.0,AC,-2.153000157,57.13112841,,None,1.0,0.0,inf,PQ,,
CRAI1Q,CRAI1Q,132.0,AC,-2.153000157,57.13112841,,None,1.0,0.0,inf,PQ,,
CRAI1R,CRAI1R,132.0,AC,-2.153000157,57.13112841,,None,1.0,0.0,inf,PQ,,
CREA1-,CREA1-,132.0,AC,-4.4558495325,57.275131439999996,,None,1.0,0.0,inf,PQ,,
CREA1A,CREA1A,132.0,AC,-4.4558495325,57.275131439999996,,None,1.0,0.0,inf,PQ,,
CRSS1J,CRSS1J,132.0,AC,-5.502312414,55.59026315,,None,1.0,0.0,inf,PQ,,
CRSS1Q,CRSS1Q,132.0,AC,-5.4261574275,55.80814389,,None,1.0,0.0,inf,PQ,,
CRSS1R,CRSS1R,132.0,AC,-5.350002441,56.02602463,,None,1.0,0.0,inf,PQ,,
CRSS2A,CRSS2A,275.0,AC,-5.502312414,55.59026315,,None,1.0,0.0,inf,PQ,,
CRSS2B,CRSS2B,275.0,AC,-5.451542423,55.735516976666666,,None,1.0,0.0,inf,PQ,,
CRSS2C,CRSS2C,275.0,AC,-5.502312414,55.59026315,,None,1.0,0.0,inf,PQ,,
CRSS2D,CRSS2D,275.0,AC,-5.451542423,55.735516976666666,,None,1.0,0.0,inf,PQ,,
CULL1Q,CULL1Q,132.0,AC,-4.489802119,57.46759907,,None,1.0,0.0,inf,PQ,,
DAAS2-,DAAS2-,275.0,AC,-2.9417017758333337,57.50777294416667,,None,1.0,0.0,inf,PQ,,
DENS1Q,DENS1Q,132.0,AC,-2.554726686375,56.667209568749996,,None,1.0,0.0,inf,PQ,,
DENS1R,DENS1R,132.0,AC,-2.619040477,56.56385676,,None,1.0,0.0,inf,PQ,,
DLCH1A,DLCH1A,132.0,AC,-4.4558495325,57.275131439999996,,None,1.0,0.0,inf,PQ,,
DLCH1B,DLCH1B,132.0,AC,-4.4558495325,57.275131439999996,,None,1.0,0.0,inf,PQ,,
DOUN2-,DOUN2-,275.0,AC,-3.753501664,58.57592179,,None,1.0,0.0,inf,PQ,,
DUBE1Q,DUBE1Q,132.0,AC,-3.429801313,58.25293114,,None,1.0,0.0,inf,PQ,,
DUCC1J,DUCC1J,132.0,AC,-4.5530280595,57.510659035,,None,1.0,0.0,inf,PQ,,
DUCC1K,DUCC1K,132.0,AC,-4.5530280595,57.510659035,,None,1.0,0.0,inf,PQ,,
DUDH1Q,DUDH1Q,132.0,AC,-2.950000704,56.46172643,,None,1.0,0.0,inf,PQ,,
DUDH1R,DUDH1R,132.0,AC,-2.950000704,56.46172643,,None,1.0,0.0,inf,PQ,,
DUGR1Q,DUGR1Q,132.0,AC,-6.531004176,57.42792837,,None,1.0,0.0,inf,PQ,,
DUNM1-,DUNM1-,132.0,AC,-3.270557387916667,57.50591247208334,,None,1.0,0.0,inf,PQ,,
DUNM1C,DUNM1C,132.0,AC,-3.270557387916667,57.50591247208334,,None,1.0,0.0,inf,PQ,,
DUNO1Q,DUNO1Q,132.0,AC,-4.940002084,55.97462457,,None,1.0,0.0,inf,PQ,,
DUNO1R,DUNO1R,132.0,AC,-4.940002084,55.97462457,,None,1.0,0.0,inf,PQ,,
DYCE1J,DYCE1J,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
DYCE1Q,DYCE1Q,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
DYCE1R,DYCE1R,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
DYCE1T,DYCE1T,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
DYCE1U,DYCE1U,132.0,AC,-2.18100018,57.21142863,,None,1.0,0.0,inf,PQ,,
