Load,p_set,bus,carrier,type,q_set,sign
ABBA1-_load,0.1,ABBA1-,,,0.0,-1.0
AMUL1E_load,0.1,AMUL1E,,,0.0,-1.0
AMUL1F_load,0.1,AMUL1F,,,0.0,-1.0
AMUL1G_load,0.1,AMUL1G,,,0.0,-1.0
AMUL1H_load,0.1,AMUL1H,,,0.0,-1.0
BEAT4-_load,0.1,BEAT4-,,,0.0,-1.0
BEAU1J_load,0.1,BEAU1J,,,0.0,-1.0
BEAU1L_load,0.1,BEAU1L,,,0.0,-1.0
BEAU1M_load,0.1,BEAU1M,,,0.0,-1.0
BEAU1N_load,0.1,BEAU1N,,,0.0,-1.0
BEAU1R_load,0.1,BEAU1R,,,0.0,-1.0
BEAU1S_load,0.1,BEAU1S,,,0.0,-1.0
BEAU1T_load,0.1,BEAU1T,,,0.0,-1.0
BIHI1Q_load,0.1,BIHI1Q,,,0.0,-1.0
BIHI1R_load,0.1,BIHI1R,,,0.0,-1.0
BLHI1J_load,0.1,BLHI1J,,,0.0,-1.0
BLHI1K_load,0.1,BLHI1K,,,0.0,-1.0
BLHI2L_load,0.1,BLHI2L,,,0.0,-1.0
BLHI2M_load,0.1,BLHI2M,,,0.0,-1.0
BOAG1L_load,0.1,BOAG1L,,,0.0,-1.0
BOAG1M_load,0.1,BOAG1M,,,0.0,-1.0
BOAG1P_load,0.1,BOAG1P,,,0.0,-1.0
BONB2J_load,0.1,BONB2J,,,0.0,-1.0
BONB4-_load,0.1,BONB4-,,,0.0,-1.0
BREC1Q_load,0.1,BREC1Q,,,0.0,-1.0
BREC1R_load,0.1,BREC1R,,,0.0,-1.0
BROR1Q_load,0.1,BROR1Q,,,0.0,-1.0
CHAR1S_load,0.1,CHAR1S,,,0.0,-1.0
CHAR1T_load,0.1,CHAR1T,,,0.0,-1.0
CLUN1S_load,0.1,CLUN1S,,,0.0,-1.0
CLUN1T_load,0.1,CLUN1T,,,0.0,-1.0
COGA1C_load,0.1,COGA1C,,,0.0,-1.0
CONN1C_load,0.1,CONN1C,,,0.0,-1.0
CORI1K_load,0.1,CORI1K,,,0.0,-1.0
CORI1P_load,0.1,CORI1P,,,0.0,-1.0
CORI1Q_load,0.1,CORI1Q,,,0.0,-1.0
CRAI1P_load,0.1,CRAI1P,,,0.0,-1.0
CRAI1R_load,0.1,CRAI1R,,,0.0,-1.0
CREA1A_load,0.1,CREA1A,,,0.0,-1.0
CRSS1Q_load,0.1,CRSS1Q,,,0.0,-1.0
CRSS1R_load,0.1,CRSS1R,,,0.0,-1.0
CRSS2C_load,0.1,CRSS2C,,,0.0,-1.0
CRSS2D_load,0.1,CRSS2D,,,0.0,-1.0
DENS1Q_load,0.1,DENS1Q,,,0.0,-1.0
DENS1R_load,0.1,DENS1R,,,0.0,-1.0
DLCH1B_load,0.1,DLCH1B,,,0.0,-1.0
DUCC1J_load,0.1,DUCC1J,,,0.0,-1.0
DUCC1K_load,0.1,DUCC1K,,,0.0,-1.0
DUNM1C_load,0.1,DUNM1C,,,0.0,-1.0
DYCE1J_load,0.1,DYCE1J,,,0.0,-1.0
DYCE1T_load,0.1,DYCE1T,,,0.0,-1.0
DYCE1U_load,0.1,DYCE1U,,,0.0,-1.0
ELGI1L_load,0.1,ELGI1L,,,0.0,-1.0
ELGI1M_load,0.1,ELGI1M,,,0.0,-1.0
ERRO1A_load,0.1,ERRO1A,,,0.0,-1.0
ERRO1B_load,0.1,ERRO1B,,,0.0,-1.0
FAUG1-_load,0.1,FAUG1-,,,0.0,-1.0
FAUG1J_load,0.1,FAUG1J,,,0.0,-1.0
FAUG1K_load,0.1,FAUG1K,,,0.0,-1.0
FAUG1M_load,0.1,FAUG1M,,,0.0,-1.0
FAUG1N_load,0.1,FAUG1N,,,0.0,-1.0
FAUG1P_load,0.1,FAUG1P,,,0.0,-1.0
FERO1S_load,0.1,FERO1S,,,0.0,-1.0
FETT2P_load,0.1,FETT2P,,,0.0,-1.0
FETT2Q_load,0.1,FETT2Q,,,0.0,-1.0
FIDD1B_load,0.1,FIDD1B,,,0.0,-1.0
FOFO2-_load,0.1,FOFO2-,,,0.0,-1.0
FOGG1Q_load,0.1,FOGG1Q,,,0.0,-1.0
FOGG1R_load,0.1,FOGG1R,,,0.0,-1.0
FOYE2-_load,0.1,FOYE2-,,,0.0,-1.0
FYRI1J_load,0.1,FYRI1J,,,0.0,-1.0
GARB1Q_load,0.1,GARB1Q,,,0.0,-1.0
GARB1R_load,0.1,GARB1R,,,0.0,-1.0
GARB1S_load,0.1,GARB1S,,,0.0,-1.0
GARB1T_load,0.1,GARB1T,,,0.0,-1.0
