Line,bus0,bus1,OHL Length (km),Cable Length (km),Circuit Type,r,x,b,s_nom,Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),component,carrier,OFTO,Station,OHL Length(km),Cable Length(km),R (% on 100MVA),X (% on 100MVA),B (% on 100MVA),s_nom,Voltage (kV),Site,Voltage Ratio (kV),Interconnector Name,Existing,Planned from year,Type,Rated Voltage (kV),Length(km),Metallic Return,Node 1 MVAr Gen,Node 1 MVAr Abs,Node 2 MVAr Gen,Node 2 MVAr Abs,Unique ID,type,g,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
1478,ABNE1Q,ABNE3-,,,,1.05,27.98,0.0,,,,,transformer,AC,,,,,,,,60.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1479,ABNE1R,ABNE3-,,,,1.05,28.5,0.0,,,,,transformer,AC,,,,,,,,60.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,ACHR1R,ACHR3-,,,,0.36,18.0,0.0,,,,,transformer,AC,,,,,,,,90.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1481,AIGA1Q,AIGA5-,,,,1.76,44.89,0.0,,,,,transformer,AC,,,,,,,,22.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1482,ALNE1Q,ALNE3J,,,,0.365,26.0,0.0,,,,,transformer,AC,,,,,,,,120.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483,ALNE1R,ALNE3J,,,,0.365,26.0,0.0,,,,,transformer,AC,,,,,,,,120.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1484,ANSU1-,ANSU3-,,,,0.817,27.121,0.0,,,,,transformer,AC,,,,,,,,45.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1485,ARBR1Q,ARBR3-,,,,0.7,28.29,0.0,,,,,transformer,AC,,,,,,,,45.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486,ARBR1R,ARBR3-,,,,0.7,28.29,0.0,,,,,transformer,AC,,,,,,,,45.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1487,ARDK1-,ARDK3K,,,,0.807,24.876,0.0,,,,,transformer,AC,,,,,,,,45.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1488,ARMO1J,ARMO3-,,,,0.615,17.82,-0.026,,,,,transformer,AC,,,,,,,,60.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1489,BEAU1J,BEAU1P,,,,0.177,3.6,0.0,,,,,transformer,AC,,,,,,,,150.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1490,BEAU1J,BEAU3-,,,,1.04,27.73,0.0,,,,,transformer,AC,,,,,,,,45.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1491,BEAU1K,BEAU1Q,,,,0.177,3.6,0.0,,,,,transformer,AC,,,,,,,,150.0,,,,,,,,,,,,,,,,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
